Customer ID,Age,Gender,City,Subscription Type,Monthly Spending,Tenure,Number of Purchases,Customer Support Requests,Login Frequency,Last Activity Date,Satisfaction Score,Churn Status
CUST-1028,50,Male,Chicago,Basic,21.9,44,8,1,Monthly,2026-06-05,3,0
CUST-1029,20,Other,Los Angeles,Standard,56.29,37,17,0,Bi-weekly,2026-05-18,3,0
CUST-1030,38,Male,Phoenix,Standard,35.24,42,10,1,Monthly,2026-05-11,2,1
CUST-1031,57,Other,Los Angeles,Basic,20.75,33,9,2,Weekly,2026-05-07,2,0
CUST-1032,41,Female,Chicago,Standard,63.35,46,10,0,Daily,2026-03-27,4,0
CUST-1033,24,Male,Phoenix,Basic,27.79,48,18,4,Weekly,2026-05-17,3,0
CUST-1034,63,Female,Houston,Premium,120.74,17,8,1,Bi-weekly,2026-06-14,2,0
CUST-1035,71,Female,New York,Basic,16.67,9,3,2,Weekly,2026-04-25,5,0
CUST-1036,25,Male,Chicago,Premium,72.88,24,10,0,Weekly,2026-04-26,3,1
CUST-1037,41,Male,Philadelphia,Basic,23.64,43,4,1,Bi-weekly,2026-04-10,5,0
CUST-1038,65,Male,Houston,Basic,29.52,52,6,3,Monthly,2026-06-17,2,0
CUST-1039,39,Female,Houston,Standard,36.37,45,4,0,Monthly,2026-06-16,5,0
CUST-1040,70,Female,Philadelphia,Standard,62.82,56,8,4,Weekly,2026-06-17,2,1
CUST-1041,35,Male,Phoenix,Standard,55.66,26,11,2,Bi-weekly,2026-06-17,2,0
CUST-1042,34,Male,San Jose,Standard,31.53,39,14,0,Bi-weekly,2026-05-11,5,0
CUST-1043,50,Male,San Antonio,Premium,85.21,3,2,0,Daily,2026-04-15,3,0
CUST-1044,22,Other,Philadelphia,Premium,95.11,55,4,1,Bi-weekly,2026-04-17,4,0
CUST-1045,38,Female,Phoenix,Premium,80.18,27,11,2,Monthly,2026-03-26,3,0
CUST-1046,37,Female,Dallas,Basic,16.08,14,4,2,Bi-weekly,2026-04-22,5,0
CUST-1047,31,Other,San Diego,Premium,83.58,6,2,0,Bi-weekly,2026-06-09,3,0
CUST-1048,32,Male,Chicago,Basic,10.92,31,10,1,Daily,2026-04-23,5,0
CUST-1049,54,Male,San Antonio,Standard,45.99,10,1,5,Daily,2026-04-27,2,1
CUST-1050,62,Other,San Diego,Basic,21.15,59,28,4,Daily,2026-04-23,2,0
CUST-1051,60,Other,Dallas,Premium,95.38,49,15,0,Monthly,2026-04-11,5,0
CUST-1052,65,Female,San Diego,Standard,60.07,54,21,1,Bi-weekly,2026-04-15,5,0
CUST-1053,35,Female,Los Angeles,Premium,92.86,18,6,2,Bi-weekly,2026-04-12,2,1
CUST-1054,32,Female,Chicago,Premium,87.12,27,7,1,Bi-weekly,2026-04-12,5,0
CUST-1055,31,Female,San Antonio,Premium,145.68,2,2,0,Monthly,2026-06-20,4,0
CUST-1056,42,Female,Dallas,Premium,128.77,52,20,0,Weekly,2026-04-19,3,0
CUST-1057,49,Male,San Antonio,Standard,56.75,52,13,2,Weekly,2026-04-22,3,0
CUST-1058,52,Male,San Antonio,Premium,115.15,2,1,2,Monthly,2026-06-03,5,0
CUST-1059,34,Female,Philadelphia,Basic,19.09,22,7,3,Bi-weekly,2026-04-28,3,0
CUST-1060,48,Male,Dallas,Basic,30.0,23,4,1,Daily,2026-03-29,2,0
CUST-1061,33,Male,New York,Premium,82.19,9,4,0,Daily,2026-04-09,3,0
CUST-1062,34,Female,Chicago,Premium,118.58,48,23,2,Daily,2026-05-31,4,0
CUST-1063,19,Female,San Jose,Premium,142.64,25,7,2,Weekly,2026-06-11,3,0
CUST-1064,67,Female,San Jose,Basic,25.92,37,2,0,Bi-weekly,2026-04-13,5,0
CUST-1065,22,Other,Philadelphia,Basic,26.99,53,16,2,Daily,2026-04-26,4,0
CUST-1066,71,Female,Chicago,Standard,37.05,34,9,2,Monthly,2026-04-22,5,0
CUST-1067,55,Female,Philadelphia,Basic,26.61,6,2,2,Monthly,2026-05-20,5,0
CUST-1068,60,Female,Philadelphia,Basic,19.89,21,3,2,Monthly,2026-05-24,4,0
CUST-1069,39,Female,San Jose,Premium,140.41,36,1,2,Weekly,2026-06-10,3,0
CUST-1070,49,Other,Houston,Premium,108.09,46,16,0,Monthly,2026-06-18,2,1
CUST-1071,43,Other,Houston,Standard,56.56,24,8,2,Bi-weekly,2026-04-27,4,0
CUST-1072,47,Female,Phoenix,Standard,39.22,47,7,1,Bi-weekly,2026-06-05,3,0
CUST-1073,65,Female,Phoenix,Premium,117.17,49,17,1,Bi-weekly,2026-06-08,3,0
CUST-1074,41,Male,Phoenix,Basic,24.16,9,3,3,Daily,2026-06-14,3,0
CUST-1075,26,Other,San Diego,Basic,27.45,37,10,1,Monthly,2026-04-20,5,0
CUST-1076,21,Female,San Diego,Basic,26.44,26,8,2,Daily,2026-04-08,2,1
CUST-1077,69,Other,Phoenix,Basic,29.88,8,4,3,Weekly,2026-04-15,4,0
CUST-1078,46,Female,San Jose,Standard,42.22,40,2,1,Daily,2026-05-25,3,0
CUST-1079,23,Male,Houston,Basic,21.04,11,1,3,Monthly,2026-04-24,4,0
CUST-1080,32,Female,Phoenix,Premium,138.77,5,1,3,Bi-weekly,2026-04-01,2,1
CUST-1081,52,Male,Chicago,Standard,63.07,5,1,2,Weekly,2026-05-12,4,0
CUST-1082,47,Other,Phoenix,Premium,102.2,18,9,0,Monthly,2026-04-25,2,0
CUST-1083,74,Female,Philadelphia,Premium,90.03,6,1,2,Daily,2026-03-26,4,0
CUST-1084,66,Male,San Diego,Premium,122.12,59,9,0,Weekly,2026-04-07,5,0
CUST-1085,49,Male,San Diego,Standard,46.33,21,2,1,Weekly,2026-05-09,5,0
CUST-1086,36,Other,San Antonio,Premium,72.94,6,2,0,Bi-weekly,2026-05-10,2,0
CUST-1087,43,Other,New York,Premium,139.55,30,7,3,Daily,2026-05-27,3,0
CUST-1088,49,Other,San Diego,Basic,14.07,36,5,1,Bi-weekly,2026-04-25,5,0
CUST-1089,58,Other,Houston,Premium,82.67,36,1,2,Monthly,2026-06-09,3,0
CUST-1090,25,Female,Los Angeles,Premium,136.57,32,10,3,Bi-weekly,2026-04-28,4,0
CUST-1091,33,Female,Dallas,Basic,17.67,59,20,1,Weekly,2026-06-12,4,0
CUST-1092,72,Female,Philadelphia,Premium,91.37,1,2,2,Bi-weekly,2026-04-06,5,0
CUST-1093,46,Other,San Diego,Standard,43.3,49,18,4,Monthly,2026-04-23,3,0
CUST-1094,62,Male,San Jose,Standard,39.34,50,14,1,Daily,2026-05-11,5,0
CUST-1095,69,Female,San Antonio,Premium,133.39,42,5,1,Monthly,2026-06-16,3,0
CUST-1096,55,Female,Los Angeles,Standard,33.99,59,15,0,Daily,2026-06-02,5,0
CUST-1097,27,Male,San Diego,Standard,43.54,45,13,1,Daily,2026-05-09,5,0
CUST-1098,58,Other,San Diego,Premium,72.87,5,1,4,Bi-weekly,2026-05-22,1,1
CUST-1099,24,Other,Los Angeles,Standard,36.65,20,1,5,Daily,2026-05-10,1,1
CUST-1100,41,Female,Chicago,Basic,20.62,37,6,2,Weekly,2026-05-29,2,0
CUST-1101,42,Other,Houston,Standard,66.51,10,2,0,Monthly,2026-03-31,4,0
CUST-1102,60,Male,San Diego,Standard,57.1,11,1,3,Monthly,2026-05-07,3,0
CUST-1103,45,Other,Phoenix,Standard,63.81,13,4,0,Monthly,2026-06-07,3,0
CUST-1104,40,Other,Phoenix,Premium,93.62,54,22,2,Monthly,2026-05-16,2,0
CUST-1105,61,Other,New York,Premium,129.61,54,10,4,Weekly,2026-04-04,3,1
CUST-1106,30,Other,Phoenix,Premium,130.45,50,22,1,Weekly,2026-04-01,2,0
CUST-1107,59,Male,Phoenix,Standard,31.33,24,12,5,Weekly,2026-06-09,3,0
CUST-1108,44,Male,Houston,Basic,25.73,57,12,5,Bi-weekly,2026-05-30,3,0
CUST-1109,48,Female,Philadelphia,Basic,19.37,5,1,1,Weekly,2026-03-26,5,0
CUST-1110,69,Other,Philadelphia,Basic,25.81,1,2,1,Daily,2026-04-23,4,0
CUST-1111,61,Female,San Jose,Standard,62.9,24,2,2,Weekly,2026-04-21,2,0
CUST-1112,53,Female,San Jose,Basic,22.95,41,15,1,Bi-weekly,2026-03-29,5,1
CUST-1113,20,Male,Phoenix,Standard,34.64,16,3,0,Monthly,2026-04-23,4,0
CUST-1114,65,Other,Dallas,Standard,53.49,47,5,2,Monthly,2026-03-29,2,0
CUST-1115,57,Female,Phoenix,Basic,23.81,14,4,2,Monthly,2026-05-21,4,0
CUST-1116,61,Female,Dallas,Premium,98.69,26,5,1,Weekly,2026-06-05,5,0
CUST-1117,31,Other,San Jose,Basic,11.01,22,4,0,Weekly,2026-04-09,3,1
CUST-1118,66,Other,Houston,Premium,87.28,56,8,2,Bi-weekly,2026-06-02,2,1
CUST-1119,27,Male,Dallas,Standard,61.94,8,1,3,Weekly,2026-06-19,3,0
CUST-1120,33,Other,Philadelphia,Basic,13.48,4,1,1,Monthly,2026-04-14,2,1
CUST-1121,48,Female,Philadelphia,Premium,117.49,29,9,1,Weekly,2026-04-03,2,0
CUST-1122,73,Other,Dallas,Standard,48.32,2,1,0,Monthly,2026-04-30,5,0
CUST-1123,49,Other,San Diego,Basic,27.99,21,10,4,Weekly,2026-06-12,2,1
CUST-1124,58,Other,Dallas,Premium,96.01,39,17,0,Bi-weekly,2026-04-23,5,0
CUST-1125,62,Male,Dallas,Premium,139.24,28,8,1,Weekly,2026-04-29,4,0
CUST-1126,43,Female,Los Angeles,Standard,47.07,43,9,2,Bi-weekly,2026-06-01,5,0
CUST-1127,71,Male,Los Angeles,Standard,33.86,48,12,4,Weekly,2026-04-10,1,1
CUST-1128,53,Other,Philadelphia,Premium,79.78,23,11,1,Monthly,2026-06-14,4,0
CUST-1129,40,Male,San Jose,Premium,87.02,43,16,1,Weekly,2026-06-07,4,0
CUST-1130,41,Male,Phoenix,Premium,88.09,28,14,0,Daily,2026-04-04,4,1
CUST-1131,35,Other,Phoenix,Standard,44.04,12,2,0,Monthly,2026-06-12,3,0
CUST-1132,19,Male,Dallas,Basic,17.52,30,6,0,Weekly,2026-05-04,4,0
CUST-1133,67,Other,San Jose,Basic,27.67,10,2,3,Daily,2026-03-26,1,1
CUST-1134,60,Female,San Diego,Premium,105.36,18,4,2,Daily,2026-05-07,5,0
CUST-1135,61,Other,San Jose,Standard,51.08,20,1,1,Weekly,2026-05-01,2,1
CUST-1136,37,Male,Chicago,Standard,41.58,8,1,2,Monthly,2026-04-26,3,0
CUST-1137,52,Other,Houston,Premium,114.7,43,12,2,Daily,2026-05-01,2,1
CUST-1138,47,Male,Philadelphia,Premium,104.34,26,12,2,Monthly,2026-05-14,2,1
CUST-1139,38,Male,San Jose,Standard,63.28,59,12,0,Daily,2026-04-26,2,1
CUST-1140,55,Female,Dallas,Basic,17.92,20,6,1,Weekly,2026-05-09,3,0
CUST-1141,58,Male,Dallas,Premium,85.51,50,12,3,Bi-weekly,2026-03-30,2,1
CUST-1142,27,Female,Houston,Basic,22.05,49,21,2,Daily,2026-05-29,5,0
CUST-1143,54,Other,San Diego,Premium,143.93,37,11,4,Bi-weekly,2026-06-01,4,0
CUST-1144,46,Other,Phoenix,Standard,53.66,23,9,0,Daily,2026-05-12,5,0
CUST-1145,21,Female,Phoenix,Basic,22.89,55,3,0,Monthly,2026-04-22,2,1
CUST-1146,69,Other,Houston,Standard,54.2,33,5,0,Daily,2026-04-24,2,0
CUST-1147,71,Female,Los Angeles,Premium,121.69,3,1,0,Monthly,2026-04-25,3,0
CUST-1148,36,Female,San Antonio,Standard,57.16,4,2,1,Daily,2026-05-09,2,0
CUST-1149,42,Female,Phoenix,Premium,138.13,59,20,2,Weekly,2026-05-09,2,0
CUST-1150,27,Female,Phoenix,Premium,125.88,26,3,2,Daily,2026-05-12,5,0
CUST-1151,39,Male,Dallas,Basic,22.92,28,9,5,Bi-weekly,2026-06-18,3,0
CUST-1152,31,Female,San Diego,Basic,14.53,9,2,0,Daily,2026-05-14,2,0
CUST-1153,52,Other,Dallas,Basic,23.24,57,25,4,Weekly,2026-04-05,4,1
CUST-1154,29,Other,San Jose,Basic,24.42,3,2,3,Bi-weekly,2026-03-26,2,0
CUST-1155,57,Female,San Diego,Basic,20.68,20,8,3,Weekly,2026-05-04,4,0
CUST-1156,36,Female,Dallas,Premium,103.49,11,2,3,Weekly,2026-05-19,1,0
CUST-1157,73,Female,Dallas,Basic,24.23,34,4,2,Bi-weekly,2026-06-10,3,0
CUST-1158,75,Other,Chicago,Standard,33.67,59,8,1,Monthly,2026-05-07,2,1
CUST-1159,43,Other,Philadelphia,Basic,17.72,6,2,3,Weekly,2026-06-17,3,0
CUST-1160,71,Other,Philadelphia,Basic,12.75,19,8,2,Weekly,2026-03-22,5,0
CUST-1161,18,Male,New York,Standard,38.63,10,5,1,Monthly,2026-06-06,4,0
CUST-1162,25,Male,Houston,Standard,55.56,40,15,3,Daily,2026-06-06,4,0
CUST-1163,19,Other,Dallas,Premium,89.36,10,3,1,Monthly,2026-06-20,4,0
CUST-1164,44,Male,Los Angeles,Premium,147.97,5,1,2,Monthly,2026-04-21,2,0
CUST-1165,41,Female,New York,Standard,61.54,23,4,1,Daily,2026-04-07,4,1
CUST-1166,40,Other,Philadelphia,Premium,84.01,50,22,0,Monthly,2026-03-23,5,0
CUST-1167,69,Male,Los Angeles,Premium,132.1,30,1,2,Bi-weekly,2026-05-26,2,0
CUST-1168,74,Male,Philadelphia,Standard,50.62,53,18,0,Monthly,2026-05-19,2,0
CUST-1169,30,Female,Philadelphia,Basic,27.32,22,5,1,Daily,2026-05-04,5,0
CUST-1170,65,Female,San Antonio,Standard,68.95,32,16,2,Bi-weekly,2026-04-15,4,0
CUST-1171,64,Female,Los Angeles,Standard,54.1,53,6,0,Bi-weekly,2026-05-10,2,1
CUST-1172,60,Female,Phoenix,Standard,54.1,28,3,2,Monthly,2026-05-07,5,1
CUST-1173,73,Female,San Jose,Standard,40.98,51,2,4,Daily,2026-03-27,4,0
CUST-1174,69,Other,Chicago,Basic,12.86,39,15,0,Daily,2026-06-04,2,1
CUST-1175,59,Female,Philadelphia,Standard,67.98,3,1,2,Monthly,2026-05-04,4,0
CUST-1176,22,Other,Chicago,Premium,99.36,21,5,1,Weekly,2026-06-06,2,0
CUST-1177,49,Other,San Antonio,Premium,79.42,50,9,1,Monthly,2026-05-24,4,0
CUST-1178,49,Male,Los Angeles,Basic,27.06,29,3,1,Monthly,2026-06-09,4,0
CUST-1179,63,Male,Dallas,Premium,93.23,20,3,0,Weekly,2026-05-05,3,0
CUST-1180,30,Male,Houston,Standard,31.05,36,12,0,Monthly,2026-04-11,3,0
CUST-1181,23,Male,Phoenix,Standard,69.98,47,16,4,Monthly,2026-04-29,1,1
CUST-1182,38,Other,Los Angeles,Standard,48.63,34,12,2,Weekly,2026-04-11,3,0
CUST-1183,26,Female,Dallas,Basic,26.63,34,5,1,Bi-weekly,2026-05-30,3,0
CUST-1184,63,Male,Philadelphia,Premium,141.59,55,3,1,Bi-weekly,2026-05-26,4,0
CUST-1185,37,Other,Dallas,Basic,20.05,11,5,3,Weekly,2026-05-30,3,0
CUST-1186,54,Male,New York,Basic,10.91,42,19,3,Bi-weekly,2026-03-29,2,0
CUST-1187,44,Other,New York,Standard,65.56,35,10,2,Bi-weekly,2026-04-20,3,0
CUST-1188,61,Female,Phoenix,Standard,32.92,4,1,2,Monthly,2026-04-28,5,0
CUST-1189,39,Other,Chicago,Standard,64.46,21,6,3,Monthly,2026-06-04,3,0
CUST-1190,24,Female,Houston,Standard,34.9,29,4,1,Weekly,2026-06-08,2,1
CUST-1191,42,Other,San Antonio,Basic,29.25,58,6,0,Bi-weekly,2026-04-08,4,1
CUST-1192,28,Female,Dallas,Standard,49.95,20,8,1,Daily,2026-06-09,5,0
CUST-1193,33,Male,San Jose,Standard,31.95,19,8,1,Monthly,2026-05-15,2,0
CUST-1194,45,Male,Phoenix,Premium,99.26,26,6,4,Daily,2026-04-30,1,0
CUST-1195,30,Female,Dallas,Standard,32.94,33,15,2,Bi-weekly,2026-04-02,2,1
CUST-1196,24,Female,Philadelphia,Standard,52.31,24,3,5,Weekly,2026-04-04,4,0
CUST-1197,20,Male,Chicago,Premium,96.64,31,9,2,Monthly,2026-06-01,3,0
CUST-1198,57,Female,Chicago,Standard,69.62,48,10,0,Bi-weekly,2026-04-17,5,0
CUST-1199,37,Female,New York,Standard,43.25,8,4,3,Bi-weekly,2026-03-24,1,1
CUST-1200,34,Other,San Jose,Premium,88.2,4,2,2,Weekly,2026-04-14,5,1
CUST-1201,61,Male,New York,Premium,145.86,8,2,3,Daily,2026-04-25,3,0
CUST-1202,44,Other,Houston,Standard,50.07,40,16,1,Daily,2026-03-22,3,0
CUST-1203,53,Female,San Diego,Premium,100.15,12,4,8,Bi-weekly,2026-04-12,2,1
CUST-1204,73,Other,Phoenix,Premium,108.73,16,5,1,Bi-weekly,2026-05-23,4,0
CUST-1205,63,Male,San Diego,Standard,49.19,36,9,2,Bi-weekly,2026-06-05,5,0
CUST-1206,43,Female,Chicago,Standard,31.68,46,3,2,Bi-weekly,2026-04-25,4,0
CUST-1207,31,Male,Dallas,Standard,67.32,45,9,0,Weekly,2026-06-07,3,0
CUST-1208,60,Other,Houston,Premium,88.63,7,2,3,Bi-weekly,2026-04-21,1,0
CUST-1209,26,Male,Dallas,Basic,18.14,60,29,4,Monthly,2026-04-20,2,0
CUST-1210,36,Female,Phoenix,Premium,74.73,50,3,0,Weekly,2026-04-13,2,0
CUST-1211,29,Female,Chicago,Basic,29.94,26,13,0,Monthly,2026-05-28,4,0
CUST-1212,18,Female,San Jose,Premium,78.58,22,5,3,Monthly,2026-03-30,4,0
CUST-1213,26,Other,San Diego,Standard,37.71,8,3,0,Weekly,2026-04-23,4,0
CUST-1214,18,Other,Philadelphia,Standard,52.71,49,7,0,Weekly,2026-04-03,5,0
CUST-1215,50,Female,Los Angeles,Standard,56.77,12,2,1,Monthly,2026-05-10,3,1
CUST-1216,42,Male,San Diego,Standard,68.16,20,10,1,Daily,2026-05-18,4,0
CUST-1217,21,Other,Los Angeles,Standard,42.27,26,11,2,Bi-weekly,2026-03-24,2,1
CUST-1218,36,Female,San Jose,Basic,14.38,9,4,2,Weekly,2026-04-23,4,0
CUST-1219,53,Female,Dallas,Premium,136.05,49,8,2,Daily,2026-04-14,5,0
CUST-1220,41,Male,San Jose,Basic,11.24,36,17,2,Weekly,2026-04-08,3,1
CUST-1221,72,Other,San Diego,Basic,23.61,46,19,2,Monthly,2026-06-09,5,0
CUST-1222,47,Male,Dallas,Standard,48.27,4,2,1,Bi-weekly,2026-06-18,5,0
CUST-1223,18,Other,Houston,Premium,75.84,28,6,1,Daily,2026-04-12,2,0
CUST-1224,22,Female,New York,Standard,46.35,50,5,0,Monthly,2026-05-04,5,0
CUST-1225,42,Female,Los Angeles,Premium,147.13,56,18,0,Weekly,2026-03-29,4,1
CUST-1226,52,Female,Dallas,Basic,24.56,15,7,0,Daily,2026-06-18,4,0
CUST-1227,64,Other,San Antonio,Premium,100.34,15,2,0,Monthly,2026-05-07,3,0
CUST-1228,74,Other,Los Angeles,Basic,26.19,27,10,1,Daily,2026-05-21,3,0
CUST-1229,56,Male,San Diego,Premium,123.76,56,2,2,Weekly,2026-06-15,5,0
CUST-1230,52,Male,New York,Basic,20.08,19,4,1,Bi-weekly,2026-04-08,4,1
CUST-1231,74,Male,Dallas,Basic,18.27,18,1,0,Weekly,2026-04-01,5,0
CUST-1232,21,Female,San Antonio,Premium,95.5,27,7,0,Weekly,2026-05-13,5,0
CUST-1233,52,Female,Houston,Basic,16.01,46,5,0,Monthly,2026-06-13,5,0
CUST-1234,53,Other,Chicago,Standard,39.71,14,3,1,Daily,2026-04-24,4,0
CUST-1235,64,Male,New York,Standard,45.09,39,2,0,Daily,2026-05-27,3,0
CUST-1236,73,Female,Phoenix,Basic,14.24,13,6,0,Daily,2026-04-20,3,0
CUST-1237,63,Male,San Antonio,Basic,21.04,50,10,1,Monthly,2026-04-22,4,0
CUST-1238,41,Other,San Diego,Standard,33.94,47,16,1,Bi-weekly,2026-05-25,4,0
CUST-1239,20,Other,Houston,Premium,81.67,17,7,1,Bi-weekly,2026-06-01,3,0
CUST-1240,42,Other,Houston,Standard,52.03,44,11,2,Bi-weekly,2026-04-19,5,0
CUST-1241,64,Female,Chicago,Basic,24.41,32,6,2,Daily,2026-04-14,2,0
CUST-1242,22,Other,New York,Basic,18.25,54,21,2,Weekly,2026-06-12,3,1
CUST-1243,50,Female,Philadelphia,Basic,22.36,43,20,0,Monthly,2026-03-28,5,1
CUST-1244,52,Other,San Antonio,Basic,10.33,47,9,0,Bi-weekly,2026-06-18,5,0
CUST-1245,29,Male,Los Angeles,Premium,81.91,13,5,1,Bi-weekly,2026-05-06,4,0
CUST-1246,23,Female,San Antonio,Standard,52.6,45,8,2,Bi-weekly,2026-03-25,2,0
CUST-1247,72,Other,New York,Basic,18.11,25,9,1,Monthly,2026-06-13,2,0
CUST-1248,23,Female,San Antonio,Premium,132.75,37,4,1,Daily,2026-05-22,3,0
CUST-1249,62,Other,San Diego,Standard,31.86,5,2,3,Daily,2026-05-29,3,1
CUST-1250,31,Other,Chicago,Premium,135.67,60,3,2,Bi-weekly,2026-05-31,3,0
CUST-1251,72,Female,Dallas,Standard,45.35,48,5,1,Daily,2026-04-17,4,1
CUST-1252,45,Male,Los Angeles,Standard,54.21,40,20,0,Monthly,2026-05-10,2,0
CUST-1253,68,Female,San Diego,Basic,17.12,25,7,1,Weekly,2026-03-25,5,1
CUST-1254,57,Female,Houston,Premium,75.88,18,3,1,Monthly,2026-03-31,3,0
CUST-1255,38,Female,Los Angeles,Basic,10.1,20,8,4,Bi-weekly,2026-05-17,1,1
CUST-1256,29,Female,San Diego,Premium,114.38,27,2,0,Daily,2026-06-09,4,0
CUST-1257,56,Other,Philadelphia,Standard,30.49,27,7,3,Daily,2026-04-10,2,1
CUST-1258,28,Other,San Antonio,Basic,12.78,20,5,0,Monthly,2026-06-02,2,1
CUST-1259,35,Female,Phoenix,Standard,61.31,24,5,1,Weekly,2026-04-01,5,0
CUST-1260,30,Female,Los Angeles,Basic,16.09,26,6,2,Monthly,2026-05-09,5,0
CUST-1261,70,Other,San Jose,Basic,16.01,39,7,2,Monthly,2026-05-11,3,0
CUST-1262,38,Female,San Diego,Premium,132.56,21,7,0,Bi-weekly,2026-05-01,4,0
CUST-1263,54,Male,San Jose,Premium,84.39,50,18,0,Daily,2026-04-22,3,0
CUST-1264,36,Other,Los Angeles,Standard,56.92,9,3,1,Weekly,2026-05-19,3,0
CUST-1265,68,Female,Los Angeles,Standard,69.63,31,10,0,Monthly,2026-04-13,5,0
CUST-1266,68,Female,Dallas,Premium,121.05,6,1,1,Weekly,2026-03-28,4,1
CUST-1267,57,Male,San Jose,Premium,124.2,26,13,1,Bi-weekly,2026-04-26,2,1
CUST-1268,34,Male,Dallas,Premium,111.5,38,19,1,Weekly,2026-04-24,4,0
CUST-1269,67,Other,San Jose,Premium,110.04,23,1,1,Monthly,2026-06-07,4,0
CUST-1270,23,Male,Chicago,Standard,42.48,30,13,4,Weekly,2026-04-15,4,0
CUST-1271,24,Female,San Diego,Standard,32.69,3,1,0,Daily,2026-05-08,2,0
CUST-1272,28,Other,Houston,Premium,83.96,11,3,3,Monthly,2026-04-22,2,0
CUST-1273,58,Male,Chicago,Premium,122.58,26,1,1,Weekly,2026-04-24,5,0
CUST-1274,63,Male,Houston,Standard,60.09,52,26,0,Daily,2026-04-08,2,0
CUST-1275,52,Male,Philadelphia,Standard,37.88,8,3,1,Monthly,2026-04-14,4,0
CUST-1276,57,Female,San Jose,Basic,16.96,55,15,1,Weekly,2026-03-26,4,0
CUST-1277,55,Male,Chicago,Standard,34.71,20,2,0,Weekly,2026-05-04,3,0
CUST-1278,44,Other,Chicago,Premium,100.7,12,4,1,Weekly,2026-04-10,3,0
CUST-1279,26,Male,Philadelphia,Standard,54.78,56,12,1,Daily,2026-04-19,3,1
CUST-1280,42,Other,Dallas,Premium,109.6,44,16,2,Monthly,2026-03-22,5,0
CUST-1281,23,Other,New York,Basic,15.84,18,4,1,Bi-weekly,2026-05-30,5,0
CUST-1282,67,Female,Dallas,Premium,79.06,8,3,0,Bi-weekly,2026-04-12,2,0
CUST-1283,46,Other,Houston,Standard,34.1,54,21,3,Weekly,2026-05-13,1,1
CUST-1284,40,Male,San Diego,Basic,25.51,16,4,3,Bi-weekly,2026-03-22,4,1
CUST-1285,26,Male,Houston,Basic,21.4,35,9,1,Weekly,2026-05-10,4,0
CUST-1286,35,Other,Los Angeles,Basic,29.26,51,14,3,Daily,2026-05-16,2,0
CUST-1287,26,Male,Chicago,Premium,95.77,16,7,2,Monthly,2026-06-02,4,0
CUST-1288,42,Female,Los Angeles,Premium,133.57,50,3,0,Monthly,2026-04-16,4,0
